record_id,employee_id,event_id,date,due_date,status,completion_pct,score,feedback_rating,assigned_by
R000001,E0018,EV_035,2024-10-01,,completed,100,61,5,manager
R000002,E0054,EV_036,2024-10-01,,declined,0,,,manager
R000003,E0063,EV_037,2024-10-02,,dropped,45,,3,self
R000004,E0003,EV_039,2024-10-03,,completed,100,,4,self
R000005,E0060,EV_032,2024-10-03,,completed,100,,3,self
R000006,E0107,EV_027,2024-10-03,,completed,100,,,self
R000007,E0007,EV_007,2024-10-04,,completed,100,,5,manager
R000008,E0073,EV_038,2024-10-04,,completed,100,75,,manager
R000009,E0057,EV_032,2024-10-07,,completed,100,,3,self
R000010,E0099,EV_029,2024-10-07,,completed,100,91,5,hr
R000011,E0131,EV_030,2024-10-07,,completed,100,,3,self
R000012,E0043,EV_037,2024-10-08,,completed,100,,3,manager
R000013,E0071,EV_026,2024-10-08,,completed,100,,3,self
R000014,E0154,EV_037,2024-10-08,,completed,100,,3,self
R000015,E0138,EV_034,2024-10-09,,declined,0,,,manager
R000016,E0013,EV_040,2024-10-10,,completed,100,,,self
R000017,E0099,EV_008,2024-10-11,,no_show,0,,,manager
R000018,E0092,EV_001,2024-10-14,2024-11-13,completed,100,99,,hr
R000019,E0092,EV_002,2024-10-14,2024-11-13,completed,100,74,,hr
R000020,E0092,EV_003,2024-10-14,2024-11-13,completed,100,78,,hr
R000021,E0164,EV_040,2024-10-14,,no_show,0,,,hr
R000022,E0189,EV_008,2024-10-14,,completed,100,,5,self
R000023,E0158,EV_040,2024-10-15,,declined,0,,,manager
R000024,E0061,EV_038,2024-10-16,,completed,100,83,3,self
R000025,E0062,EV_032,2024-10-16,,completed,100,,4,self
R000026,E0056,EV_033,2024-10-17,,no_show,0,,,manager
R000027,E0079,EV_001,2024-10-17,2024-11-16,completed,100,80,,hr
R000028,E0079,EV_002,2024-10-17,2024-11-16,completed,100,99,,hr
R000029,E0079,EV_003,2024-10-17,2024-11-16,completed,100,96,,hr
R000030,E0165,EV_036,2024-10-17,,completed,100,,4,self
R000031,E0028,EV_007,2024-10-18,,no_show,0,,,manager
R000032,E0059,EV_008,2024-10-18,,completed,100,,,self
R000033,E0013,EV_025,2024-10-21,,no_show,0,,,self
R000034,E0059,EV_039,2024-10-21,,completed,100,,,self
R000035,E0067,EV_001,2024-10-21,2024-11-20,completed,100,82,,hr
R000036,E0067,EV_002,2024-10-21,2024-11-20,completed,100,71,,hr
R000037,E0067,EV_003,2024-10-21,2024-11-20,completed,100,72,,hr
R000038,E0097,EV_038,2024-10-21,,completed,100,100,4,self
R000039,E0127,EV_036,2024-10-21,,completed,100,,4,manager
R000040,E0134,EV_027,2024-10-21,,completed,100,,2,self
R000041,E0150,EV_008,2024-10-22,,completed,100,,5,self
R000042,E0060,EV_023,2024-10-24,,completed,100,,5,self
R000043,E0092,EV_004,2024-10-24,2024-11-10,completed,100,,,hr
R000044,E0172,EV_034,2024-10-24,,completed,100,,,manager
R000045,E0185,EV_001,2024-10-24,2024-11-23,completed,100,78,,hr
R000046,E0185,EV_002,2024-10-24,2024-11-23,completed,100,94,,hr
R000047,E0185,EV_003,2024-10-24,2024-11-23,completed,100,93,,hr
R000048,E0046,EV_033,2024-10-28,,completed,100,100,5,manager
R000049,E0107,EV_008,2024-10-28,,completed,100,,4,self
R000050,E0162,EV_021,2024-10-28,,completed,100,,4,self
R000051,E0010,EV_035,2024-10-29,,dropped,50,,,manager
R000052,E0017,EV_027,2024-10-29,,completed,100,,4,manager
R000053,E0051,EV_008,2024-10-29,,completed,100,,5,self
R000054,E0180,EV_038,2024-10-29,,completed,100,100,4,manager
R000055,E0065,EV_011,2024-10-30,,completed,100,,3,manager
R000056,E0073,EV_020,2024-10-30,,dropped,40,,,hr
R000057,E0109,EV_008,2024-10-30,,completed,100,,3,hr
R000058,E0111,EV_009,2024-10-30,,completed,100,93,5,self
R000059,E0153,EV_033,2024-10-30,,completed,100,85,,self
R000060,E0176,EV_008,2024-10-30,,completed,100,,4,manager
R000061,E0123,EV_036,2024-10-31,,completed,100,,5,manager
R000062,E0147,EV_040,2024-10-31,,completed,100,,5,manager
R000063,E0148,EV_008,2024-10-31,,completed,100,,4,self
R000064,E0198,EV_040,2024-10-31,,completed,100,,4,self
R000065,E0053,EV_019,2024-11-01,,no_show,0,,,manager
R000066,E0112,EV_035,2024-11-01,,completed,100,66,4,self
R000067,E0002,EV_001,2024-11-04,2024-12-04,completed,100,72,,hr
R000068,E0003,EV_001,2024-11-04,2024-12-04,completed,100,74,,hr
R000069,E0004,EV_001,2024-11-04,2024-12-04,completed,100,82,,hr
R000070,E0004,EV_040,2024-11-04,,completed,100,,5,self
R000071,E0005,EV_001,2024-11-04,2024-12-04,completed,100,90,,hr
R000072,E0006,EV_001,2024-11-04,2024-12-04,completed,100,88,,hr
R000073,E0007,EV_001,2024-11-04,2024-12-04,completed,100,87,,hr
R000074,E0010,EV_001,2024-11-04,2024-12-04,completed,100,96,,hr
R000075,E0011,EV_001,2024-11-04,2024-12-04,completed,100,80,,hr
R000076,E0012,EV_001,2024-11-04,2024-12-04,completed,100,77,,hr
R000077,E0013,EV_001,2024-11-04,2024-12-04,completed,100,87,,hr
R000078,E0014,EV_001,2024-11-04,2024-12-04,completed,100,70,,hr
R000079,E0015,EV_001,2024-11-04,2024-12-04,completed,100,91,,hr
R000080,E0017,EV_001,2024-11-04,2024-12-04,completed,100,70,,hr
R000081,E0018,EV_001,2024-11-04,2024-12-04,completed,100,77,,hr
R000082,E0020,EV_001,2024-11-04,2024-12-04,completed,100,86,,hr
R000083,E0021,EV_001,2024-11-04,2024-12-04,completed,100,70,,hr
R000084,E0025,EV_001,2024-11-04,2024-12-04,completed,100,97,,hr
R000085,E0026,EV_001,2024-11-04,2024-12-04,completed,100,81,,hr
R000086,E0028,EV_001,2024-11-04,2024-12-04,completed,100,90,,hr
R000087,E0032,EV_001,2024-11-04,2024-12-04,completed,100,79,,hr
R000088,E0035,EV_001,2024-11-04,2024-12-04,completed,100,96,,hr
R000089,E0038,EV_001,2024-11-04,2024-12-04,completed,100,95,,hr
R000090,E0039,EV_001,2024-11-04,2024-12-04,completed,100,75,,hr
R000091,E0041,EV_001,2024-11-04,2024-12-04,completed,100,83,,hr
R000092,E0042,EV_001,2024-11-04,2024-12-04,completed,100,78,,hr
R000093,E0043,EV_001,2024-11-04,2024-12-04,completed,100,83,,hr
R000094,E0044,EV_001,2024-11-04,2024-12-04,completed,100,94,,hr
R000095,E0044,EV_014,2024-11-04,,completed,100,,,self
R000096,E0046,EV_001,2024-11-04,2024-12-04,completed,100,75,,hr
R000097,E0047,EV_001,2024-11-04,2024-12-04,completed,100,87,,hr
R000098,E0050,EV_001,2024-11-04,2024-12-04,completed,100,97,,hr
R000099,E0051,EV_001,2024-11-04,2024-12-04,completed,100,93,,hr
R000100,E0053,EV_001,2024-11-04,2024-12-04,completed,100,72,,hr
R000101,E0054,EV_001,2024-11-04,2024-12-04,completed,100,81,,hr
R000102,E0055,EV_001,2024-11-04,2024-12-04,completed,100,90,,hr
R000103,E0056,EV_001,2024-11-04,2024-12-04,completed,100,70,,hr
R000104,E0057,EV_001,2024-11-04,2024-12-04,completed,100,82,,hr
R000105,E0059,EV_001,2024-11-04,2024-12-04,completed,100,86,,hr
R000106,E0060,EV_001,2024-11-04,2024-12-04,completed,100,72,,hr
R000107,E0061,EV_001,2024-11-04,2024-12-04,completed,100,94,,hr
R000108,E0062,EV_001,2024-11-04,2024-12-04,completed,100,88,,hr
R000109,E0063,EV_001,2024-11-04,2024-12-04,completed,100,77,,hr
R000110,E0064,EV_001,2024-11-04,2024-12-04,completed,100,85,,hr
R000111,E0065,EV_001,2024-11-04,2024-12-04,completed,100,87,,hr
R000112,E0066,EV_001,2024-11-04,2024-12-04,completed,100,90,,hr
R000113,E0069,EV_001,2024-11-04,2024-12-04,completed,100,70,,hr
R000114,E0070,EV_001,2024-11-04,2024-12-04,completed,100,87,,hr
R000115,E0071,EV_001,2024-11-04,2024-12-04,completed,100,96,,hr
R000116,E0072,EV_001,2024-11-04,2024-12-04,completed,100,91,,hr
R000117,E0073,EV_001,2024-11-04,2024-12-04,completed,100,100,,hr
R000118,E0074,EV_001,2024-11-04,2024-12-04,completed,100,99,,hr
R000119,E0075,EV_001,2024-11-04,2024-12-04,completed,100,90,,hr
R000120,E0079,EV_004,2024-11-04,2024-11-13,completed,100,,4,hr
R000121,E0080,EV_001,2024-11-04,2024-12-04,completed,100,83,,hr
R000122,E0081,EV_001,2024-11-04,2024-12-04,completed,100,75,,hr
R000123,E0085,EV_001,2024-11-04,2024-12-04,completed,100,80,,hr
R000124,E0088,EV_001,2024-11-04,2024-12-04,completed,100,84,,hr
R000125,E0091,EV_001,2024-11-04,2024-12-04,completed,100,96,,hr
R000126,E0093,EV_001,2024-11-04,2024-12-04,completed,100,74,,hr
R000127,E0094,EV_001,2024-11-04,2024-12-04,completed,100,83,,hr
R000128,E0095,EV_001,2024-11-04,2024-12-04,completed,100,89,,hr
R000129,E0097,EV_001,2024-11-04,2024-12-04,completed,100,75,,hr
R000130,E0098,EV_001,2024-11-04,2024-12-04,completed,100,92,,hr
R000131,E0099,EV_001,2024-11-04,2024-12-04,completed,100,75,,hr
R000132,E0102,EV_001,2024-11-04,2024-12-04,completed,100,90,,hr
R000133,E0103,EV_001,2024-11-04,2024-12-04,completed,100,84,,hr
R000134,E0105,EV_001,2024-11-04,2024-12-04,completed,100,76,,hr
R000135,E0106,EV_001,2024-11-04,2024-12-04,completed,100,96,,hr
R000136,E0107,EV_001,2024-11-04,2024-12-04,completed,100,98,,hr
R000137,E0108,EV_001,2024-11-04,2024-12-04,completed,100,88,,hr
R000138,E0109,EV_001,2024-11-04,2024-12-04,completed,100,85,,hr
R000139,E0111,EV_001,2024-11-04,2024-12-04,completed,100,87,,hr
R000140,E0112,EV_001,2024-11-04,2024-12-04,completed,100,82,,hr
R000141,E0118,EV_001,2024-11-04,2024-12-04,completed,100,73,,hr
R000142,E0118,EV_017,2024-11-04,,no_show,0,,,self
R000143,E0120,EV_001,2024-11-04,2024-12-04,completed,100,85,,hr
R000144,E0122,EV_001,2024-11-04,2024-12-04,completed,100,70,,hr
R000145,E0123,EV_001,2024-11-04,2024-12-04,completed,100,76,,hr
R000146,E0127,EV_001,2024-11-04,2024-12-04,completed,100,82,,hr
R000147,E0128,EV_001,2024-11-04,2024-12-04,completed,100,76,,hr
R000148,E0131,EV_001,2024-11-04,2024-12-04,completed,100,82,,hr
R000149,E0132,EV_001,2024-11-04,2024-12-04,completed,100,92,,hr
R000150,E0133,EV_001,2024-11-04,2024-12-04,completed,100,100,,hr
R000151,E0134,EV_001,2024-11-04,2024-12-04,completed,100,78,,hr
R000152,E0136,EV_001,2024-11-04,2024-12-04,completed,100,89,,hr
R000153,E0138,EV_001,2024-11-04,2024-12-04,completed,100,71,,hr
R000154,E0140,EV_001,2024-11-04,2024-12-04,completed,100,79,,hr
R000155,E0143,EV_001,2024-11-04,2024-12-04,completed,100,96,,hr
R000156,E0144,EV_001,2024-11-04,2024-12-04,completed,100,95,,hr
R000157,E0145,EV_001,2024-11-04,2024-12-04,completed,100,83,,hr
R000158,E0147,EV_001,2024-11-04,2024-12-04,completed,100,89,,hr
R000159,E0148,EV_001,2024-11-04,2024-12-04,completed,100,78,,hr
R000160,E0149,EV_001,2024-11-04,2024-12-04,completed,100,78,,hr
R000161,E0150,EV_001,2024-11-04,2024-12-04,completed,100,94,,hr
R000162,E0153,EV_001,2024-11-04,2024-12-04,completed,100,94,,hr
R000163,E0154,EV_001,2024-11-04,2024-12-04,completed,100,79,,hr
R000164,E0155,EV_001,2024-11-04,2024-12-04,completed,100,85,,hr
R000165,E0158,EV_001,2024-11-04,2024-12-04,completed,100,74,,hr
R000166,E0161,EV_001,2024-11-04,2024-12-04,completed,100,73,,hr
R000167,E0162,EV_001,2024-11-04,2024-12-04,completed,100,90,,hr
R000168,E0163,EV_001,2024-11-04,2024-12-04,completed,100,91,,hr
R000169,E0164,EV_001,2024-11-04,2024-12-04,completed,100,78,,hr
R000170,E0165,EV_001,2024-11-04,2024-12-04,completed,100,79,,hr
R000171,E0168,EV_001,2024-11-04,2024-12-04,completed,100,87,,hr
R000172,E0169,EV_001,2024-11-04,2024-12-04,completed,100,89,,hr
R000173,E0172,EV_001,2024-11-04,2024-12-04,completed,100,94,,hr
R000174,E0173,EV_001,2024-11-04,2024-12-04,completed,100,98,,hr
R000175,E0175,EV_001,2024-11-04,2024-12-04,completed,100,76,,hr
R000176,E0176,EV_001,2024-11-04,2024-12-04,completed,100,71,,hr
R000177,E0177,EV_001,2024-11-04,2024-12-04,completed,100,94,,hr
R000178,E0179,EV_001,2024-11-04,2024-12-04,completed,100,82,,hr
R000179,E0180,EV_001,2024-11-04,2024-12-04,completed,100,88,,hr
R000180,E0182,EV_001,2024-11-04,2024-12-04,completed,100,73,,hr
